

Kode,Tanggal,Open,Close,Change(Rp),Change(%),Volume
ISAT,2018-09-28,3000,3050,50,1.67,237500,
ISAT,2018-09-27,2980,3000,20,0.67,440000,
ISAT,2018-09-26,2950,2980,30,1.02,831600,
ISAT,2018-09-25,2980,2950,-30,-1.01,764900,
ISAT,2018-09-24,3000,2980,-20,-0.67,82600,
ISAT,2018-09-21,2980,3000,20,0.67,119100,
ISAT,2018-09-20,2970,2980,10,0.34,240300,
ISAT,2018-09-19,2960,2970,10,0.34,62900,
ISAT,2018-09-18,2970,2960,-10,-0.34,93600,
ISAT,2018-09-17,3020,2970,-50,-1.66,143600,
ISAT,2018-09-14,3030,3020,-10,-0.33,203200,
ISAT,2018-09-13,2940,3030,90,3.06,273500,
ISAT,2018-09-12,2970,2940,-30,-1.01,385100,
ISAT,2018-09-10,2980,2970,-10,-0.34,177800,
ISAT,2018-09-07,3020,2980,-40,-1.32,656800,
ISAT,2018-09-06,3100,3020,-80,-2.58,284400,
ISAT,2018-09-05,3220,3100,-120,-3.73,975000,
ISAT,2018-09-04,3240,3220,-20,-0.62,157500,
ISAT,2018-09-03,3240,3240,0,0.00,54300,
ISAT,2018-08-31,3270,3240,-30,-0.92,262000,
ISAT,2018-08-30,3300,3270,-30,-0.91,385100,
ISAT,2018-08-29,3280,3300,20,0.61,762300,
ISAT,2018-08-28,3260,3280,20,0.61,244400,
ISAT,2018-08-27,3220,3260,40,1.24,205400,
