

Kode,Tanggal,Open,Close,Change(Rp),Change(%),Volume
FREN,2018-09-24,114,111,-3,-2.63,29433200,
FREN,2018-09-21,114,114,0,0.00,50459100,
FREN,2018-09-20,113,114,1,0.88,57823500,
FREN,2018-09-19,113,113,0,0.00,106480900,
FREN,2018-09-18,110,113,3,2.73,101965200,
FREN,2018-09-17,114,110,-4,-3.51,75320100,
FREN,2018-09-14,115,114,-1,-0.87,202864600,
FREN,2018-09-13,106,115,9,8.49,218074600,
FREN,2018-09-12,105,106,1,0.95,34694400,
FREN,2018-09-10,106,105,-1,-0.94,19889100,
FREN,2018-09-07,108,106,-2,-1.85,47284600,
FREN,2018-09-06,106,108,2,1.89,42938900,
FREN,2018-09-05,111,106,-5,-4.50,93552300,
FREN,2018-09-04,120,111,-9,-7.50,56164300,
FREN,2018-09-03,117,120,3,2.56,90404800,
FREN,2018-08-31,120,117,-3,-2.50,37761800,
FREN,2018-08-30,127,120,-7,-5.51,54926800,
FREN,2018-08-29,126,127,1,0.79,69348000,
FREN,2018-08-28,138,126,-12,-8.70,256407900,
FREN,2018-08-27,115,138,23,20.00,354155600,
